ip_address lat lon timestamp poi_type_query
34.101.177.245 46.534138755713165 6.589529436444811 14.912447506427014 cafeteria
34.101.177.245 46.53161133502464 6.591255305671718 14.912447506427014 restaurant
34.101.177.245 46.54866272608712 6.6022176597409725 18.024657145379827 restaurant
34.101.177.245 46.550242868022714 6.604354751118064 18.024657145379827 cafeteria
34.101.177.245 46.53442703129541 6.591820044539034 36.3345388642684 cafeteria
34.101.177.245 46.53358634493128 6.592869154043576 36.3345388642684 restaurant
34.101.177.245 46.54967996568145 6.602250518357346 40.5977633878372 dojo
34.101.177.245 46.54902856807941 6.602808189064873 40.5977633878372 restaurant
34.101.177.245 46.54790265051858 6.611407598252485 41.97664020685398 dojo
34.101.177.245 46.54965502476537 6.6083492388798115 41.97664020685398 restaurant
34.101.177.245 46.53369508848381 6.591950878963667 59.359388449373135 cafeteria
34.101.177.245 46.53372961397335 6.590032056412898 59.359388449373135 restaurant
34.101.177.245 46.550486866375046 6.603059430488832 66.23929470398043 dojo
34.101.177.245 46.55110695376199 6.6026576648428525 66.23929470398043 restaurant
34.101.177.245 46.55047105034428 6.608415405253731 66.46910130363834 club
34.101.177.245 46.547793936633575 6.607958705416042 66.46910130363834 cafeteria
34.101.177.245 46.53444463970296 6.591936100258941 83.78984190081674 cafeteria
34.101.177.245 46.53186657602777 6.589416264774761 83.78984190081674 restaurant
34.101.177.245 46.54993551822145 6.602925046989759 86.79629122046308 restaurant
34.101.177.245 46.552142876265286 6.601994377446748 86.79629122046308 dojo
34.101.177.245 46.55106134698642 6.608064654357603 92.65479223216884 dojo
34.101.177.245 46.54911834959767 6.608792370974561 92.65479223216884 club
34.101.177.245 46.53435738779105 6.5909837599037235 109.21273299041044 cafeteria
34.101.177.245 46.53243058903459 6.592447974516023 109.21273299041044 restaurant
34.101.177.245 46.55006062335788 6.601919808559245 114.29981008121824 restaurant
34.101.177.245 46.550422862192185 6.60241611908705 114.29981008121824 club
34.101.177.245 46.5485991596559 6.6031633690199 129.43546959845645 cafeteria
34.101.177.245 46.524285093435324 6.580445294481068 129.43546959845645 club
34.101.177.245 46.520148907369816 6.574355044235278 129.43546959845645 restaurant
